names	coefficients	sign
stats_deaths	0.4057	NEG
stats_assists	0.3763	POS
stats_towerKills	0.3197	POS
stats_neutralMinionsKilledEnemyJungle	0.2652	POS
stats_largestKillingSpree	0.1643	POS
stats_magicDamageTaken	0.1578	NEG
stats_totalDamageTaken	0.1504	NEG
stats_champLevel	0.1461	POS
stats_goldEarned	0.1451	POS
stats_physicalDamageTaken	0.1040	NEG
stats_kills	0.0912	POS
stats_trueDamageTaken	0.0873	NEG
stats_killingSprees	0.0850	POS
stats_minionsKilled	0.0661	NEG
stats_largestMultiKill	0.0619	POS
stats_neutralMinionsKilledTeamJungle	0.0510	NEG
stats_totalHeal	0.0461	POS
stats_doubleKills	0.0368	POS
stats_physicalDamageDealtToChampions	0.0312	NEG
stats_goldSpent	0.0310	POS
stats_firstTowerAssist.false	0.0274	NEG
stats_visionWardsBoughtInGame	0.0259	POS
stats_firstTowerAssist.true	0.0250	POS
stats_wardsKilled	0.0223	NEG
stats_totalDamageDealtToChampions	0.0212	NEG
stats_wardsPlaced	0.0201	POS
stats_tripleKills	0.0179	POS
stats_firstTowerKill.false	0.0157	NEG
stats_totalUnitsHealed	0.0142	POS
stats_firstBloodKill.false	0.0139	NEG
stats_firstTowerKill.true	0.0133	POS
stats_neutralMinionsKilled	0.0120	POS
stats_totalDamageDealt	0.0117	NEG
stats_firstBloodKill.true	0.0116	POS
stats_magicDamageDealt	0.0107	NEG
stats_largestCriticalStrike	0.0062	NEG
stats_quadraKills	0.0061	POS
stats_magicDamageDealtToChampions	0.0056	POS
stats_totalTimeCrowdControlDealt	0.0053	NEG
stats_physicalDamageDealt	0.0050	NEG
stats_pentaKills	0.0033	POS
stats_trueDamageDealt	0.0023	NEG
stats_sightWardsBoughtInGame	0.0005	NEG
stats_trueDamageDealtToChampions	0.0003	POS
stats_unrealKills	0.0002	POS
